publication_date,source,title,url
2016-12-28,The Observer,How police raided Nakasero mosque,https://observer.ug/news/how-police-raided-nakasero-mosque/
2016-12-28,The Observer,"Kasese: Scared residents shun bars, night prayers",https://observer.ug/news/kasese-scared-residents-shun-bars-night-prayers/
2016-12-28,The Observer,Kibanzanga urges Kasese leaders to preach peace,https://observer.ug/news/kibanzanga-urges-kasese-leaders-to-preach-peace/
2016-12-28,The Observer,Kyambadde: I have no power as minister,https://observer.ug/news/kyambadde-i-have-no-power-as-minister/
2016-12-28,The Observer,"Lukwago, FDC councillors clash over Basalirwa job",https://observer.ug/news/lukwago-fdc-councillors-clash-over-basalirwa-job/
2016-12-28,The Observer,MP Agaba: NRM must not go down with Museveni,https://observer.ug/news/mp-agaba-nrm-must-not-go-down-with-museveni/
2016-12-28,The Observer,MPs raise red flags on railway concession,https://observer.ug/business/mps-raise-red-flags-on-railway-concession/
2016-12-28,The Observer,Mumbere case hearing adjourned to January 12,https://observer.ug/news/jinja-court-adjourns-mumbere-case-hearing-to-january-12/
2016-12-28,The Observer,"Oil should not over-dominate Uganda’s economy, WB chief advises",https://observer.ug/news/oil-should-over-dominate-uganda-s-economy-wb-chief-advises/
2016-12-28,The Observer,Parliament blacklists Ferdsult Ltd on govt electricity contracts,https://observer.ug/business/parliament-blacklists-ferdsult-ltd-on-govt-electricity-contracts/
2016-12-28,The Observer,Police hold city taxi driver over robbery,https://observer.ug/news/police-hold-city-taxi-driver-over-robbery/
2016-12-28,The Observer,Sacked staff sue Kabale University,https://observer.ug/news/sacked-staff-sue-kabale-university/
2016-12-28,The Observer,UNBS starts inspecting Umeme power meters,https://observer.ug/business/unbs-starts-inspecting-umeme-power-meters/
2026-03-25,The Observer,Uganda Baati ignites a new era of women’s empowerment,https://observer.ug/business/uganda-baati-ignites-a-new-era-of-womens-empowerment/
2026-03-26,The Observer,Namananga forest on brink and race to save it,https://observer.ug/business/namananga-forest-on-brink-and-race-to-save-it/
2026-03-29,The Observer,Economics of forgiveness: A final chance to reset your business debt,https://observer.ug/business/economics-of-forgiveness-a-final-chance-to-reset-your-business-debt/
2026-03-29,The Observer,Investments in small-scale industries could lead to improved incomes,https://observer.ug/business/investments-in-small-scale-industries-could-lead-to-improved-incomes/
2026-03-31,The Observer,TotalEnergies revamps LPG filling plant in Jinja,https://observer.ug/business/totalenergies-revamps-lpg-filling-plant-in-jinja/
2026-03-31,The Observer,Uganda has enough fuel stock until May – govt,https://observer.ug/business/uganda-has-enough-fuel-stock-until-may-govt/
2026-04-01,The Observer,Musicians should think beyond miming at kwanjula and weddings,https://observer.ug/business/musicians-should-think-beyond-miming-at-kwanjula-and-weddings/
2026-04-08,The Observer,"Michigan Fellows, Phos Creatives partner on African solutions to global challenges",https://observer.ug/business/michigan-fellows-phos-creatives-partner-on-african-solutions-to-global-challenges/
2026-04-09,The Observer,Euro Gold to refine gold for Bank of Uganda,https://observer.ug/business/euro-gold-to-refine-gold-for-bank-of-uganda/
2026-04-09,The Observer,Mubende goats introduced in Zombo,https://observer.ug/news/mubende-goats-introduced-in-zombo/
2026-04-10,The Observer,Africa pushes for new global financial order as aid models face scrutiny,https://observer.ug/business/africa-pushes-for-new-global-financial-order-as-aid-models-face-scrutiny/
2026-04-10,The Observer,Court denies Mufumbiro temporary bail to attend wife’s burial,https://observer.ug/news/court-denies-mufumbiro-temporary-bail-to-attend-wifes-burial/
