month,source,pred_final,count
2023-05,The Observer,contract_management_failure,6
2023-05,The Observer,procurement_irregularity,5
2023-05,The Observer,governance_oversight_failure,4
2023-05,The Observer,quality_technical_defect,2
2023-06,The Observer,land_row_dispute,80
2023-06,The Observer,delay_time_overrun,40
2023-06,The Observer,procurement_irregularity,11
2023-06,The Observer,contract_management_failure,6
2023-06,The Observer,quality_technical_defect,5
2023-06,The Observer,governance_oversight_failure,4
2023-06,The Observer,payment_financial_dispute,2
2023-07,The Observer,land_row_dispute,120
2023-07,The Observer,delay_time_overrun,30
2023-07,The Observer,governance_oversight_failure,14
2023-07,The Observer,procurement_irregularity,14
2023-07,The Observer,quality_technical_defect,8
2023-07,The Observer,contract_management_failure,7
2023-07,The Observer,payment_financial_dispute,1
2023-08,The Observer,land_row_dispute,170
2023-08,The Observer,delay_time_overrun,33
2023-08,The Observer,contract_management_failure,21
2023-08,The Observer,procurement_irregularity,14
2023-08,The Observer,governance_oversight_failure,13
2023-08,The Observer,payment_financial_dispute,10
2023-08,The Observer,quality_technical_defect,8
2023-09,The Observer,land_row_dispute,108
2023-09,The Observer,delay_time_overrun,35
2023-09,The Observer,quality_technical_defect,13
2023-09,The Observer,procurement_irregularity,9
2023-09,The Observer,contract_management_failure,7
2023-09,The Observer,governance_oversight_failure,7
2023-09,The Observer,payment_financial_dispute,2
2023-10,The Observer,land_row_dispute,135
2023-10,The Observer,delay_time_overrun,44
2023-10,The Observer,contract_management_failure,14
2023-10,The Observer,governance_oversight_failure,13
2023-10,The Observer,procurement_irregularity,10
2023-10,The Observer,quality_technical_defect,5
2023-10,The Observer,payment_financial_dispute,1
2023-11,The Observer,land_row_dispute,84
2023-11,The Observer,delay_time_overrun,18
2023-11,The Observer,quality_technical_defect,10
2023-11,The Observer,governance_oversight_failure,9
2023-11,The Observer,procurement_irregularity,4
2023-11,The Observer,contract_management_failure,3
2023-11,The Observer,payment_financial_dispute,3
2023-12,The Observer,land_row_dispute,67
2023-12,The Observer,delay_time_overrun,22
2023-12,The Observer,procurement_irregularity,5
2023-12,The Observer,governance_oversight_failure,4
2023-12,The Observer,contract_management_failure,3
2023-12,The Observer,payment_financial_dispute,3
2024-01,The Observer,land_row_dispute,63
2024-01,The Observer,contract_management_failure,12
2024-01,The Observer,delay_time_overrun,11
2024-01,The Observer,procurement_irregularity,7
2024-01,The Observer,governance_oversight_failure,6
2024-01,The Observer,quality_technical_defect,2
2024-01,The Observer,payment_financial_dispute,1
2024-02,The Observer,land_row_dispute,183
2024-02,The Observer,delay_time_overrun,12
2024-02,The Observer,quality_technical_defect,11
2024-02,The Observer,contract_management_failure,10
2024-02,The Observer,governance_oversight_failure,10
2024-02,The Observer,payment_financial_dispute,9
2024-02,The Observer,procurement_irregularity,9
2024-03,The Observer,land_row_dispute,28
2024-03,The Observer,procurement_irregularity,12
2024-03,The Observer,governance_oversight_failure,8
2024-03,The Observer,delay_time_overrun,7
2024-03,The Observer,contract_management_failure,4
2024-03,The Observer,payment_financial_dispute,4
2024-03,The Observer,quality_technical_defect,4
2024-04,The Observer,land_row_dispute,173
2024-04,The Observer,delay_time_overrun,27
2024-04,The Observer,governance_oversight_failure,15
2024-04,The Observer,contract_management_failure,13
2024-04,The Observer,quality_technical_defect,11
2024-04,The Observer,procurement_irregularity,10
2024-04,The Observer,payment_financial_dispute,1
2024-05,The Observer,land_row_dispute,121
2024-05,The Observer,delay_time_overrun,23
2024-05,The Observer,quality_technical_defect,18
2024-05,The Observer,governance_oversight_failure,12
2024-05,The Observer,procurement_irregularity,9
2024-05,The Observer,payment_financial_dispute,4
2024-05,The Observer,contract_management_failure,3
2024-06,The Observer,land_row_dispute,118
2024-06,The Observer,delay_time_overrun,17
2024-06,The Observer,procurement_irregularity,17
2024-06,The Observer,governance_oversight_failure,9
2024-06,The Observer,contract_management_failure,8
2024-06,The Observer,quality_technical_defect,5
2024-06,The Observer,payment_financial_dispute,3
2024-07,The Observer,land_row_dispute,262
2024-07,The Observer,procurement_irregularity,29
2024-07,The Observer,delay_time_overrun,25
2024-07,The Observer,governance_oversight_failure,25
2024-07,The Observer,quality_technical_defect,23
2024-07,The Observer,contract_management_failure,18
2024-07,The Observer,payment_financial_dispute,10
2024-08,The Observer,land_row_dispute,182
2024-08,The Observer,delay_time_overrun,45
2024-08,The Observer,procurement_irregularity,17
2024-08,The Observer,quality_technical_defect,17
2024-08,The Observer,governance_oversight_failure,10
2024-08,The Observer,contract_management_failure,3
2024-08,The Observer,payment_financial_dispute,2
2024-09,The Observer,land_row_dispute,192
2024-09,The Observer,delay_time_overrun,44
2024-09,The Observer,contract_management_failure,34
2024-09,The Observer,quality_technical_defect,34
2024-09,The Observer,procurement_irregularity,25
2024-09,The Observer,governance_oversight_failure,15
2024-09,The Observer,payment_financial_dispute,12
2024-10,The Observer,land_row_dispute,60
2024-10,The Observer,delay_time_overrun,24
2024-10,The Observer,procurement_irregularity,20
2024-10,The Observer,quality_technical_defect,14
2024-10,The Observer,contract_management_failure,6
2024-10,The Observer,governance_oversight_failure,6
2024-10,The Observer,payment_financial_dispute,5
2024-11,The Observer,land_row_dispute,117
2024-11,The Observer,delay_time_overrun,9
2024-11,The Observer,governance_oversight_failure,9
2024-11,The Observer,procurement_irregularity,8
2024-11,The Observer,contract_management_failure,6
2024-11,The Observer,quality_technical_defect,4
2024-12,The Observer,land_row_dispute,107
2024-12,The Observer,delay_time_overrun,31
2024-12,The Observer,quality_technical_defect,17
2024-12,The Observer,contract_management_failure,13
2024-12,The Observer,governance_oversight_failure,11
