actor,driver,region,sector
Police,land_row_dispute,Central,Roads/Transport
World Bank,land_row_dispute,Central,Roads/Transport
Court,land_row_dispute,Northern,Land/Urban
Government,payment_financial_dispute,Cross-border,Water/Sanitation
NWSC,payment_financial_dispute,Cross-border,Water/Sanitation
Court,contract_management_failure,Central,Land/Urban
Government,contract_management_failure,Central,Land/Urban
Government,land_row_dispute,Northern,Energy
UEGCL,land_row_dispute,Northern,Energy
Court,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Other
Parliament,land_row_dispute,Central,Other
KCCA,land_row_dispute,Northern,Land/Urban
Police,land_row_dispute,Central,Roads/Transport
UNRA,land_row_dispute,Central,Roads/Transport
Government,quality_technical_defect,Western,Buildings/Housing
Police,quality_technical_defect,Western,Buildings/Housing
Court,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Roads/Transport
UNRA,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Buildings/Housing
Ministry of Health,land_row_dispute,Central,Buildings/Housing
Umeme/ERA,delay_time_overrun,Eastern,Energy
Government,land_row_dispute,Central,Other
Police,land_row_dispute,Central,Other
President Museveni,land_row_dispute,Central,Other
Government,land_row_dispute,Central,Land/Urban
Parliament,land_row_dispute,Central,Land/Urban
President Museveni,land_row_dispute,Central,Land/Urban
Government,quality_technical_defect,Northern,Water/Sanitation
Parliament,quality_technical_defect,Northern,Water/Sanitation
Police,quality_technical_defect,Northern,Water/Sanitation
Government,land_row_dispute,Central,Energy
Umeme/ERA,land_row_dispute,Central,Energy
World Bank,land_row_dispute,Central,Energy
Police,land_row_dispute,Western,Water/Sanitation
Court,land_row_dispute,Central,Energy
Government,land_row_dispute,Central,Energy
Ministry of Finance,land_row_dispute,Central,Energy
President Museveni,land_row_dispute,Central,Energy
Court,land_row_dispute,Central,Energy
Government,land_row_dispute,Central,Energy
Parliament,land_row_dispute,Central,Energy
Court,land_row_dispute,Northern,Roads/Transport
Government,land_row_dispute,Northern,Roads/Transport
Ministry of Energy,land_row_dispute,Northern,Roads/Transport
Ministry of Finance,land_row_dispute,Northern,Roads/Transport
UEGCL,land_row_dispute,Northern,Roads/Transport
World Bank,land_row_dispute,Northern,Roads/Transport
Government,land_row_dispute,Central,Water/Sanitation
Ministry of Finance,land_row_dispute,Central,Water/Sanitation
Parliament,land_row_dispute,Central,Water/Sanitation
President Museveni,land_row_dispute,Central,Water/Sanitation
Court,quality_technical_defect,Central,Land/Urban
Government,quality_technical_defect,Central,Land/Urban
KCCA,quality_technical_defect,Central,Land/Urban
Parliament,quality_technical_defect,Central,Land/Urban
URA,quality_technical_defect,Central,Land/Urban
Court,land_row_dispute,Central,Land/Urban
Police,land_row_dispute,Central,Land/Urban
Ministry of Education,governance_oversight_failure,Central,Energy
Court,quality_technical_defect,Central,Roads/Transport
KCCA,quality_technical_defect,Central,Roads/Transport
Ministry of Finance,quality_technical_defect,Central,Roads/Transport
Parliament,quality_technical_defect,Central,Roads/Transport
World Bank,quality_technical_defect,Central,Roads/Transport
Government,land_row_dispute,Cross-border,Roads/Transport
Government,land_row_dispute,Central,Roads/Transport
Parliament,land_row_dispute,Central,Roads/Transport
